tag,x,y,z,qx,qy,qz,qw,n_obs
tag36h11:0,-0.4835716643588166,-0.3827730872303681,0.8801725133961781,0.21652447720276582,-0.4846081601586489,0.009897012809899672,0.8474515508376623,14
tag36h11:10,0.7157758361628351,-0.5603573265353549,1.6175943893641387,-0.0332573238566006,0.9555051257502359,0.18242082079253977,-0.22940477156393066,7
tag36h11:11,0.7935008706463827,-0.3103188232493956,0.8857012612448207,0.2313394997568371,-0.6227265928177365,-0.06728031131815954,0.7444239290611236,4
tag36h11:12,0.31195137815440155,-0.7004074917805498,1.9125149505706056,-0.02473189034266179,0.9920372964798161,0.11920976883767537,0.03223921535590001,11
tag36h11:13,-1.1796981644781699,-0.031656776766727124,0.5114718181414946,0.11455417214889217,0.38690795771136066,0.06492895226837432,0.9126685077618473,10
tag36h11:14,-0.5235845900727735,-0.009594281281373315,0.18194405002681713,0.19575296301421202,0.3163412767899369,0.029520924029298803,0.9277593918223224,10
tag36h11:15,-0.9724640072890312,-0.79488259737276,1.947163660097069,0.01749977078129422,0.9451301739334549,0.1461047587768271,0.29167809620519103,22
tag36h11:17,8.681646418139344e-05,-0.7522297905290937,2.060397027993844,0.0170787414937133,0.9698717624952831,0.20886362326752558,0.12422989889251836,11
tag36h11:19,-1.3414624457884805,-0.6342259222368699,1.6111901451734252,0.16530348978982007,0.7544363687533907,0.14683580863946377,0.6180127563948009,17
tag36h11:2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25
tag36h11:21,-0.6859470482153744,-0.841583542734146,2.16799621240871,0.1606700636038096,0.8028479146511878,0.1646901903713634,0.5499977252655062,15
tag36h11:3,-1.3172950212938739,-0.4533802659455655,1.0932446728765473,0.1853546764784581,0.4374046293507114,0.08810057720667558,0.8755336215280276,12
tag36h11:4,0.33531148928137605,0.0341845019777699,0.10837993931137628,0.13545978723858895,-0.28982458318458565,0.0036713372438951855,0.947438060406061,12
tag36h11:5,-0.8327349761550772,-0.1985733079539777,0.32418256848770316,0.237605868859574,0.08731911365825099,0.10634007830300582,0.961566748187527,16
tag36h11:7,-0.32231456182224094,-0.5375894037806958,1.1713220571042249,0.28471471067768855,-0.33626770383851,0.0007186057256733882,0.8976976375621735,13
tag36h11:8,0.8318526214137604,-0.4037689927185015,1.3308025058386286,-0.0703796965249672,0.9686267506968425,0.10152916119220828,-0.21564031529177738,4
tag36h11:9,0.6896828370494283,-0.1626405335938218,0.5752817875150266,0.2062302435976293,-0.7165115932947053,-0.029194732693883785,0.6657536262634085,23
