tag,x,y,z,qx,qy,qz,qw,n_obs
tag36h11:14,0.2841586535066206,0.024827070210977204,0.7104909199042302,-0.01682109687470053,0.33276727906237474,-0.013008811823469189,0.942769197365027,38
tag36h11:16,0.516708685363402,0.02351394638340194,0.7754909395352235,-0.020986665304544058,-0.443998508469284,0.0042767464227611626,0.8957715075824201,27
tag36h11:18,0.9926772970986163,-0.004601140422538011,0.3967635507460898,-0.0796558107119119,-0.3019429085154388,-0.017796139220514318,0.9498256309691319,24
tag36h11:19,1.0148173282741857,0.021044189174620215,0.6312244985232919,0.06423775125791631,0.8796157836286376,-0.04186859943442642,-0.4694641678404257,5
tag36h11:2,0.7024077944948702,-0.006795443702494531,0.108319818734252,-0.02150459030293463,0.23760789331385726,-0.011640872880309188,0.9710533104363726,3
tag36h11:22,0.5275613586327239,-0.005211894538877597,0.07467610048947437,-0.03776770742638341,-0.382107290915439,0.0061930170808957965,0.9233251134050535,11
tag36h11:23,0.2855322847075583,-0.0031518473013724137,0.029264426043981072,-0.024657197445008345,0.37368587826569344,-0.00955360563141681,0.9271783084274537,16
tag36h11:24,-0.20162233935573304,0.008883688281381646,0.13508963788581535,-0.004196397560073799,0.7015539914962416,-0.01929104017704628,0.7123427847827876,25
tag36h11:27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47
tag36h11:3,0.9094477458136113,-0.00847011949221737,0.21580675822064072,-0.028783855784028894,-0.5455816980860412,-0.00011190289533136349,0.8375631843852128,23
