tag,x,y,z,qx,qy,qz,qw,n_obs
tag36h11:10,-0.21991399880728923,0.011462075235988292,0.3671184150098724,0.007865926090781565,0.4359805075622488,-0.0124951244483093,0.8998349827037841,29
tag36h11:14,0.28605177811935617,0.005194628863650871,0.7140551796506446,-0.005014580615429883,0.3325810822410466,-0.0059700471299586845,0.9430424360832823,15
tag36h11:15,1.010281319783873,4.7172721618065366e-05,0.8755893227007667,0.005502611661069751,-0.5513467172612538,-0.003015831638390582,0.8342526136546865,34
tag36h11:16,0.5176083074148164,0.004638657950209009,0.7782589989844493,-0.011485868038871298,-0.4435730829349539,-0.0015279228382107696,0.8961633000646559,33
tag36h11:17,0.9517026414851896,0.0032556047756314207,1.1123396942500194,0.01979597381987693,0.979705592236479,0.003226587609169346,-0.19943585709067732,18
tag36h11:18,0.9954565514552247,-0.009957645231096194,0.395682782021249,0.002445965072148176,-0.26786899303383627,-0.0006863339988013442,0.9634519960909036,37
tag36h11:19,1.020444207175046,-0.0055113527210227855,0.6352326284541977,0.02987441865922426,0.8703739541942085,-0.0011410474706339522,-0.49148285522567414,46
tag36h11:2,0.7011550752338128,-0.006479031272475317,0.1056389254745717,-0.007233446817075955,0.23501175804002014,-0.008884604433607404,0.9719250046346899,22
tag36h11:22,0.5282346658088449,-0.004584701820230161,0.07074051028436296,-0.023576643253426927,-0.3807497249458684,0.0017824390217584798,0.9243757957441767,26
tag36h11:23,0.28466716872742287,-0.005402943087841336,0.02918915344889398,-0.00011895622498627714,0.372857840907622,-0.007727059555196062,0.9278562975341351,16
tag36h11:24,-0.2005493801256091,0.005379923256699511,0.1388750613167418,0.004474846307617558,0.7034963880006975,-0.007141526981151361,0.7106488629505242,43
tag36h11:25,0.6436914111520374,-0.002451234788237032,1.4168112337571717,0.0011895883322502634,0.9990223740351133,-0.0019507156655463273,0.04414833819339391,5
tag36h11:26,0.8557919972998231,-0.006192862454324072,1.2913246080441743,-0.008601576999252045,-0.7313868668517018,-0.019799801997932708,0.6816210323272159,4
tag36h11:27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49
tag36h11:28,0.04343559328334096,0.00529153232161277,1.323195395116204,0.017750767877271485,0.9695168802197504,0.011177890261653016,-0.24412493518284456,15
tag36h11:3,0.9104610818805178,-0.008230287645419875,0.21512998797041163,-0.011354735693708378,-0.54754016782123,-0.0037611214325538795,0.8366939037456859,36
tag36h11:31,-0.17992912523701599,0.012263709211594491,1.2219861571164181,0.01263860404852912,0.8612587761129599,0.0011409096309037202,0.5080081540500359,17
tag36h11:33,0.2666610691152174,-0.0011659877778457982,1.6682019765441751,0.0177441064295507,0.9974962794039063,0.002215894982856363,0.06842082337860265,12
tag36h11:4,-0.303278744908943,0.01387758008542242,1.1438386041520159,0.014374256219473648,0.9535643803420748,-0.028532428340233375,0.2994899895388515,17
tag36h11:5,-0.3087219806811916,0.013907783019708691,0.8978996161899511,0.017324946855458254,0.45975981150562617,-0.007047813433315913,0.8878463213116197,6
tag36h11:9,-0.22464478153587403,0.013615920592973889,0.6137853748635135,0.009373715474565447,0.936654899330434,0.005150786711368442,0.35009027752102795,12
