stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw
8,548000000,0.27107654610106935,0.06835029027314345,1.351082636154856,0.7063069642362061,0.7062761691481697,0.03389315922649363,-0.0339955721009145
8,614000000,0.27107654610106935,0.06835029027314345,1.351082636154856,0.7063069642362062,0.7062761691481695,0.03389315922649483,-0.03399557210091429
8,647000000,0.27107654610106935,0.06835029027314345,1.351082636154856,0.7063069642362059,0.7062761691481699,0.03389315922649504,-0.03399557210091118
8,680000000,0.27107654610106935,0.06835029027314345,1.351082636154856,0.706306964236206,0.7062761691481698,0.03389315922649488,-0.03399557210091118
8,713000000,0.2710765399897786,0.06835029031231414,1.351082636795525,0.7063069639910491,0.7062761693922747,0.033893160054285505,-0.03399557129769304
8,779000000,0.2710765401994936,0.06835028699112038,1.3510826372815414,0.7063069642868103,0.7062761690552894,0.03389316051689148,-0.033995571692661375
8,812000000,0.2710765401994936,0.06835028699112038,1.3510826372815414,0.7063069642868104,0.7062761690552894,0.03389316051689229,-0.03399557169266005
8,845000000,0.2710765316992797,0.06835028410826001,1.351082638697836,0.7063069643764027,0.7062761689284786,0.033893162142695825,-0.03399557084490864
8,911000000,0.2710765428533437,0.06835028756593162,1.3510826369498696,0.7063069634499692,0.7062761698901239,0.033893159986204735,-0.03399557226420072
8,944000000,0.2710765428533437,0.06835028756593162,1.3510826369498696,0.7063069634499691,0.706276169890124,0.03389315998620374,-0.03399557226420049
8,977000000,0.27107653786955194,0.06835028982736804,1.351082637131195,0.7063069639969952,0.7062761693799281,0.03389316042825898,-0.033995571057813555
9,10000000,0.27107653786955194,0.06835028982736804,1.351082637131195,0.7063069639969951,0.7062761693799281,0.03389316042825848,-0.033995571057815324
9,76000000,0.27107653786955194,0.06835028982736804,1.351082637131195,0.7063069639969953,0.7062761693799279,0.03389316042825998,-0.03399557105781443
9,109000000,0.27107654845582857,0.06835028768115008,1.3510826363052402,0.7063069639150792,0.7062761694309456,0.03389315922197665,-0.033995572902466714
9,142000000,0.27107654845582857,0.06835028768115008,1.3510826363052402,0.7063069639150792,0.7062761694309456,0.03389315922197722,-0.033995572902465826
9,175000000,0.2710765300207708,0.06835028083326032,1.351082639394305,0.7063069646596738,0.7062761686037311,0.033893162879593326,-0.03399557097167098
9,208000000,0.271076533576059,0.06835028391306965,1.3510826385616836,0.7063069646136048,0.7062761686904369,0.03389316193627616,-0.03399557106793693
9,241000000,0.271076533576059,0.06835028391306965,1.3510826385616836,0.7063069646136049,0.7062761686904367,0.033893161936276624,-0.03399557106793781
9,274000000,0.271076533576059,0.06835028391306965,1.3510826385616836,0.7063069646136046,0.7062761686904369,0.03389316193627573,-0.03399557106793781
