stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw
8,548000000,-0.271076546,-0.068350290,1.351082636,-0.706276169,0.706306964,-0.033995572,-0.033893159
8,614000000,-0.271076546,-0.068350290,1.351082636,-0.706276169,0.706306964,-0.033995572,-0.033893159
8,647000000,-0.271076546,-0.068350290,1.351082636,-0.706276169,0.706306964,-0.033995572,-0.033893159
8,680000000,-0.271076546,-0.068350290,1.351082636,-0.706276169,0.706306964,-0.033995572,-0.033893159
8,713000000,-0.271076544,-0.068350290,1.351082636,-0.706276169,0.706306964,-0.033995572,-0.033893159
8,779000000,-0.271076543,-0.068350289,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893160
8,812000000,-0.271076542,-0.068350288,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893160
8,845000000,-0.271076538,-0.068350287,1.351082638,-0.706276169,0.706306964,-0.033995572,-0.033893160
8,911000000,-0.271076540,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893160
8,944000000,-0.271076541,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893160
8,977000000,-0.271076540,-0.068350288,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893160
9,10000000,-0.271076539,-0.068350289,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893160
9,76000000,-0.271076539,-0.068350289,1.351082637,-0.706276169,0.706306964,-0.033995571,-0.033893160
9,109000000,-0.271076542,-0.068350289,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893160
9,142000000,-0.271076544,-0.068350288,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893160
9,175000000,-0.271076539,-0.068350286,1.351082638,-0.706276169,0.706306964,-0.033995572,-0.033893161
9,208000000,-0.271076537,-0.068350285,1.351082638,-0.706276169,0.706306964,-0.033995572,-0.033893161
9,241000000,-0.271076536,-0.068350285,1.351082638,-0.706276169,0.706306964,-0.033995571,-0.033893161
9,274000000,-0.271076535,-0.068350284,1.351082638,-0.706276169,0.706306964,-0.033995571,-0.033893161
9,340000000,-0.271076535,-0.068350284,1.351082638,-0.706276169,0.706306964,-0.033995571,-0.033893162
9,373000000,-0.271076533,-0.068350283,1.351082639,-0.706276169,0.706306965,-0.033995571,-0.033893162
9,406000000,-0.271076532,-0.068350282,1.351082639,-0.706276169,0.706306965,-0.033995571,-0.033893162
9,439000000,-0.271076534,-0.068350284,1.351082638,-0.706276169,0.706306965,-0.033995571,-0.033893162
9,472000000,-0.271076536,-0.068350286,1.351082638,-0.706276169,0.706306965,-0.033995571,-0.033893161
9,604000000,-0.271076537,-0.068350287,1.351082638,-0.706276169,0.706306964,-0.033995571,-0.033893161
9,637000000,-0.271076537,-0.068350287,1.351082638,-0.706276169,0.706306964,-0.033995571,-0.033893161
9,670000000,-0.271076538,-0.068350287,1.351082638,-0.706276169,0.706306964,-0.033995571,-0.033893161
9,736000000,-0.271076538,-0.068350287,1.351082638,-0.706276169,0.706306964,-0.033995571,-0.033893161
9,769000000,-0.271076538,-0.068350287,1.351082638,-0.706276169,0.706306964,-0.033995571,-0.033893161
9,802000000,-0.271076538,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995571,-0.033893161
9,835000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995571,-0.033893161
9,868000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995571,-0.033893161
9,901000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
9,934000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
9,967000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,0,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,33000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,66000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,99000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,132000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,165000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,198000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,231000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,264000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,297000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,363000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,396000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,462000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,495000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,528000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,561000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,594000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,693000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,726000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,759000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,792000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,825000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,858000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,891000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,924000000,-0.271076539,-0.068350287,1.351082637,-0.706276169,0.706306964,-0.033995572,-0.033893161
10,957000000,-0.271043184,-0.068292066,1.351111998,-0.706276231,0.706306326,-0.033998183,-0.033902561
10,990000000,-0.270902744,-0.068088733,1.351267180,-0.706282544,0.706297794,-0.034007622,-0.033939287
11,23000000,-0.270511412,-0.067521242,1.351916369,-0.706305555,0.706268432,-0.034036590,-0.034042260
11,56000000,-0.270292697,-0.067288664,1.353244052,-0.706330700,0.706240105,-0.034046353,-0.034098420
11,89000000,-0.269551548,-0.066276287,1.355873072,-0.706349631,0.706211417,-0.034067916,-0.034278416
11,122000000,-0.270311431,-0.067121885,1.358569094,-0.706326422,0.706246925,-0.034000455,-0.034091577
11,155000000,-0.270871411,-0.066862328,1.362311152,-0.706312562,0.706263924,-0.034020309,-0.034006666
11,188000000,-0.270943181,-0.065950015,1.366516079,-0.706321454,0.706249507,-0.034090203,-0.034051367
11,254000000,-0.271683046,-0.065768520,1.370876707,-0.706310437,0.706263193,-0.034138847,-0.033947124
11,287000000,-0.272299297,-0.065904203,1.373800549,-0.706287197,0.706291435,-0.034154284,-0.033827338
11,320000000,-0.272704140,-0.066031660,1.375739202,-0.706271573,0.706311170,-0.034162648,-0.033732899
11,353000000,-0.272988494,-0.066157597,1.376996171,-0.706260844,0.706325374,-0.034167102,-0.033655543
11,386000000,-0.273054965,-0.066233566,1.377964039,-0.706255213,0.706333473,-0.034159906,-0.033611010
11,419000000,-0.272209340,-0.065563480,1.379619229,-0.706284144,0.706298991,-0.034148133,-0.033739408
11,452000000,-0.271934474,-0.065753239,1.381552356,-0.706301235,0.706285038,-0.034089663,-0.033732852
11,518000000,-0.272147913,-0.065212087,1.386035701,-0.706290192,0.706295445,-0.034112136,-0.033723448
11,551000000,-0.270928757,-0.063586176,1.390904910,-0.706313821,0.706258942,-0.034126199,-0.033977852
11,584000000,-0.271395436,-0.062918876,1.394243574,-0.706298163,0.706270654,-0.034198835,-0.033986875
11,617000000,-0.271120914,-0.061869865,1.397167426,-0.706296643,0.706263055,-0.034259582,-0.034114948
11,650000000,-0.270894346,-0.061364322,1.399218806,-0.706301472,0.706252921,-0.034285148,-0.034198990
11,683000000,-0.270854759,-0.060876613,1.400312334,-0.706296182,0.706252878,-0.034327761,-0.034266320
11,716000000,-0.271309137,-0.061666342,1.399951804,-0.706282449,0.706273373,-0.034295629,-0.034158951
11,749000000,-0.271431561,-0.062055159,1.398808226,-0.706283933,0.706274111,-0.034285772,-0.034122889
11,782000000,-0.270784461,-0.063270241,1.396583840,-0.706298628,0.706268513,-0.034129816,-0.034090916
11,815000000,-0.270515504,-0.063120937,1.393665384,-0.706319899,0.706243658,-0.034139084,-0.034155813
11,848000000,-0.270720315,-0.063671969,1.389984045,-0.706333694,0.706232002,-0.034134629,-0.034115967
11,881000000,-0.270445250,-0.062893248,1.386290975,-0.706351769,0.706202777,-0.034224381,-0.034256498
